seq,cycle,pos,char,t0_us,t0_expected_us,delta_us
0,0,0,F,20071312,20071312,0
1,0,1,H,20171313,20171312,1
2,0,2,B,20271314,20271312,2
3,0,3,U,20371315,20371312,3
4,0,4,R,20471316,20471312,4
5,0,5,G,20571317,20571312,5
6,0,6,E,20671318,20671312,6
7,0,7,N,20771319,20771312,7
8,0,8,L,20871320,20871312,8
9,0,9,A,20971322,20971312,10
10,0,10,N,21071323,21071312,11
11,0,11,D,21171323,21171312,11
12,1,0,F,21271324,21271324,0
13,1,1,H,21371325,21371324,1
14,1,2,B,21471327,21471324,3
15,1,3,U,21571328,21571324,4
16,1,4,R,21671329,21671324,5
17,1,5,G,21771329,21771324,5
18,1,6,E,21871330,21871324,6
19,1,7,N,21971331,21971324,7
20,1,8,L,22071332,22071324,8
21,1,9,A,22171333,22171324,9
22,1,10,N,22271333,22271324,9
23,1,11,D,22371334,22371324,10
24,2,0,F,22471335,22471335,0
25,2,1,H,22571335,22571335,0
26,2,2,B,22671336,22671335,1
27,2,3,U,22771337,22771335,2
28,2,4,R,22871338,22871335,3
29,2,5,G,22971340,22971335,5
30,2,6,E,23071340,23071335,5
31,2,7,N,23171340,23171335,5
32,2,8,L,23271449,23271335,114
33,2,9,A,23371451,23371335,116
34,2,10,N,23471452,23471335,117
35,2,11,D,23571452,23571335,117
36,3,0,F,23671453,23671453,0
37,3,1,H,23771454,23771453,1
38,3,2,B,23871455,23871453,2
39,3,3,U,23971457,23971453,4
40,3,4,R,24071458,24071453,5
41,3,5,G,24171460,24171453,7
42,3,6,E,24271462,24271453,9
43,3,7,N,24371463,24371453,10
44,3,8,L,24471465,24471453,12
45,3,9,A,24571466,24571453,13
46,3,10,N,24671467,24671453,14
47,3,11,D,24771468,24771453,15
48,4,0,F,24871469,24871469,0
49,4,1,H,24971469,24971469,0
50,4,2,B,25071471,25071469,2
51,4,3,U,25171471,25171469,2
52,4,4,R,25271472,25271469,3
53,4,5,G,25371473,25371469,4
54,4,6,E,25471474,25471469,5
55,4,7,N,25571475,25571469,6
56,4,8,L,25671476,25671469,7
57,4,9,A,25771476,25771469,7
58,4,10,N,25871478,25871469,9
59,4,11,D,25971479,25971469,10
60,5,0,F,26071480,26071480,0
61,5,1,H,26171481,26171480,1
62,5,2,B,26271482,26271480,2
63,5,3,U,26371483,26371480,3
64,5,4,R,26471485,26471480,5
65,5,5,G,26571485,26571480,5
66,5,6,E,26671486,26671480,6
67,5,7,N,26771487,26771480,7
68,5,8,L,26871488,26871480,8
69,5,9,A,26971488,26971480,8
70,5,10,N,27071489,27071480,9
71,5,11,D,27171489,27171480,9
72,6,0,F,27271508,27271508,0
73,6,1,H,27371510,27371508,2
74,6,2,B,27471510,27471508,2
75,6,3,U,27571512,27571508,4
76,6,4,R,27671512,27671508,4
77,6,5,G,27771513,27771508,5
78,6,6,E,27871514,27871508,6
79,6,7,N,27971515,27971508,7
80,6,8,L,28071517,28071508,9
81,6,9,A,28171518,28171508,10
82,6,10,N,28271519,28271508,11
83,6,11,D,28371520,28371508,12
84,7,0,F,28471521,28471521,0
85,7,1,H,28571521,28571521,0
86,7,2,B,28671522,28671521,1
87,7,3,U,28771523,28771521,2
88,7,4,R,28871523,28871521,2
89,7,5,G,28971524,28971521,3
90,7,6,E,29071525,29071521,4
91,7,7,N,29171526,29171521,5
92,7,8,L,29271527,29271521,6
93,7,9,A,29371528,29371521,7
94,7,10,N,29471530,29471521,9
95,7,11,D,29571531,29571521,10
96,8,0,F,29671532,29671532,0
97,8,1,H,29771532,29771532,0
98,8,2,B,29871533,29871532,1
99,8,3,U,29971534,29971532,2
100,8,4,R,30071535,30071532,3
101,8,5,G,30171535,30171532,3
102,8,6,E,30271538,30271532,6
103,8,7,N,30371539,30371532,7
104,8,8,L,30471539,30471532,7
105,8,9,A,30571540,30571532,8
106,8,10,N,30671541,30671532,9
107,8,11,D,30771542,30771532,10
108,9,0,F,30871542,30871542,0
109,9,1,H,30971542,30971542,0
110,9,2,B,31071544,31071542,2
111,9,3,U,31171545,31171542,3
112,9,4,R,31271546,31271542,4
113,9,5,G,31371547,31371542,5
114,9,6,E,31471548,31471542,6
115,9,7,N,31571549,31571542,7
116,9,8,L,31671550,31671542,8
117,9,9,A,31771550,31771542,8
118,9,10,N,31871552,31871542,10
119,9,11,D,31971554,31971542,12
120,10,0,F,32071555,32071555,0
121,10,1,H,32171556,32171555,1
122,10,2,B,32271557,32271555,2
123,10,3,U,32371558,32371555,3
124,10,4,R,32471559,32471555,4
125,10,5,G,32571560,32571555,5
126,10,6,E,32671560,32671555,5
127,10,7,N,32771562,32771555,7
128,10,8,L,32871563,32871555,8
129,10,9,A,32971564,32971555,9
130,10,10,N,33071565,33071555,10
131,10,11,D,33171566,33171555,11
132,11,0,F,33271567,33271567,0
133,11,1,H,33371568,33371567,1
134,11,2,B,33471569,33471567,2
135,11,3,U,33571570,33571567,3
136,11,4,R,33671572,33671567,5
137,11,5,G,33771572,33771567,5
138,11,6,E,33871572,33871567,5
139,11,7,N,33971572,33971567,5
140,11,8,L,34071574,34071567,7
141,11,9,A,34171575,34171567,8
142,11,10,N,34271575,34271567,8
143,11,11,D,34371575,34371567,8
144,12,0,F,34471576,34471576,0
145,12,1,H,34571577,34571576,1
146,12,2,B,34671578,34671576,2
147,12,3,U,34771579,34771576,3
148,12,4,R,34871580,34871576,4
149,12,5,G,34971581,34971576,5
150,12,6,E,35071582,35071576,6
151,12,7,N,35171584,35171576,8
152,12,8,L,35271586,35271576,10
153,12,9,A,35371587,35371576,11
154,12,10,N,35471588,35471576,12
155,12,11,D,35571589,35571576,13
156,13,0,F,35671589,35671589,0
157,13,1,H,35771590,35771589,1
158,13,2,B,35871591,35871589,2
159,13,3,U,35971593,35971589,4
160,13,4,R,36071593,36071589,4
161,13,5,G,36171594,36171589,5
162,13,6,E,36271595,36271589,6
163,13,7,N,36371596,36371589,7
164,13,8,L,36471598,36471589,9
165,13,9,A,36571599,36571589,10
166,13,10,N,36671601,36671589,12
167,13,11,D,36771601,36771589,12
168,14,0,F,36871602,36871602,0
169,14,1,H,36971603,36971602,1
170,14,2,B,37071604,37071602,2
171,14,3,U,37171605,37171602,3
172,14,4,R,37271607,37271602,5
173,14,5,G,37371608,37371602,6
174,14,6,E,37471609,37471602,7
175,14,7,N,37571610,37571602,8
176,14,8,L,37671611,37671602,9
177,14,9,A,37771612,37771602,10
178,14,10,N,37871613,37871602,11
179,14,11,D,37971614,37971602,12
180,15,0,F,38071615,38071615,0
181,15,1,H,38171615,38171615,0
182,15,2,B,38271617,38271615,2
183,15,3,U,38371618,38371615,3
