char,count,mean_ms,median_ms,std_ms,min_ms,max_ms,p5_ms,p95_ms
F,1004,0.8393,0.9923,2.4025,-5.1719,6.8253,-3.5755,4.6157
H,1003,0.4758,-0.0485,2.9901,-6.0318,7.2364,-3.9999,5.3741
B,996,1.7625,1.8442,2.7658,-5.2263,10.5424,-2.8627,6.7499
U,1003,0.3654,-0.1791,2.9576,-5.84,7.0272,-4.0415,5.3479
R,1003,0.916,1.0196,2.5029,-5.6026,8.2159,-3.6134,4.8174
G,1003,0.8236,0.512,3.0358,-5.439,7.1834,-3.7269,5.8067
E,1001,2.1762,2.0528,2.575,-4.2084,9.1377,-1.8054,6.9694
N,4004,0.7215,0.6641,2.8342,-5.9006,8.8874,-4.0672,5.4218
L,1003,0.0857,0.4337,2.6102,-6.3718,6.0063,-4.8038,3.8415
A,1003,-0.3925,-0.8157,2.8721,-6.4925,6.4577,-4.7905,4.7442
N,4004,0.7215,0.6641,2.8342,-5.9006,8.8874,-4.0672,5.4218
D,1003,2.3844,2.8085,2.9637,-4.2712,8.04,-2.4695,6.8828
