seq,cycle,pos,char,gpio,t0_ns,t1_ns,t_latency_ns,valid,t_latency_ms,t_latency_ns_raw,t_latency_ns_drift
314,26,2,B,4,51472191000,1510304184414,11296929,True,11.29692929675293,1458831993414,10068933
1074,89,6,E,12,127472937000,1586312783214,18475860,True,18.475860883666993,1458839846214,17247864
1795,149,7,N,1,199573634000,1658409616114,13972472,True,13.972472560180664,1458835982114,12744476
1795,149,7,N,1,199573634000,1658409616114,13972472,True,13.972472560180664,1458835982114,12744476
3686,307,2,B,4,388675490000,2840745043,15459596,True,15.459596397979736,-385834744957,14673438
4034,336,2,B,4,423475846000,37641019943,15064485,True,15.06448537625122,-385834826057,14278327
6439,536,7,N,1,663978240000,278147072443,16552880,True,16.55288047012329,-385831167557,15766722
6439,536,7,N,1,663978240000,278147072443,16552880,True,16.55288047012329,-385831167557,15766722
7418,618,2,B,4,761879187000,376043863943,11513998,True,11.513998888824464,-385835323057,10727840
7938,661,6,E,12,813879702000,428044275743,10941587,True,10.941587017242432,-385835426257,10155428
8419,701,7,N,1,861980164000,476148778543,14548366,True,14.54836603604126,-385831385457,13762207
8419,701,7,N,1,861980164000,476148778543,14548366,True,14.54836603604126,-385831385457,13762207
10118,843,2,B,4,1031881870000,646054133343,16664106,True,16.664106478668213,-385827736657,15877948
11078,923,2,B,4,1127882783000,742054885643,15637169,True,15.637169177276611,-385827897357,14851010
11690,974,2,B,4,1189083374000,803255413743,15022042,True,15.022042897613526,-385827960257,14235884
12019,1001,7,N,1,1221983712000,836151697143,10670576,True,10.670576155792237,-385832014857,9884417
12019,1001,7,N,1,1221983712000,836151697143,10670576,True,10.670576155792237,-385832014857,9884417
