timestamp_iso,line_type,us_value,text
2026-02-06T15:41:54.706,INFO,,"Pico GPIO timestamp firmware with buffer started. GPIO15 active every 50 ms"
2026-02-06T15:41:54.812,DATA,20052140,"20052140 us"
2026-02-06T15:41:54.812,DATA,20102139,"20102139 us"
2026-02-06T15:41:54.918,DATA,20152139,"20152139 us"
2026-02-06T15:41:54.918,DATA,20202139,"20202139 us"
2026-02-06T15:41:54.918,DATA,20252139,"20252139 us"
2026-02-06T15:41:55.024,DATA,20302139,"20302139 us"
2026-02-06T15:41:55.024,DATA,20352139,"20352139 us"
2026-02-06T15:41:55.130,DATA,20402139,"20402139 us"
2026-02-06T15:41:55.130,DATA,20452139,"20452139 us"
2026-02-06T15:41:55.237,DATA,20502139,"20502139 us"
2026-02-06T15:41:55.237,DATA,20552139,"20552139 us"
2026-02-06T15:41:55.344,DATA,20602139,"20602139 us"
2026-02-06T15:41:55.344,DATA,20652139,"20652139 us"
2026-02-06T15:41:55.452,DATA,20702139,"20702139 us"
2026-02-06T15:41:55.452,DATA,20752139,"20752139 us"
2026-02-06T15:41:55.560,DATA,20802139,"20802139 us"
2026-02-06T15:41:55.560,DATA,20852139,"20852139 us"
2026-02-06T15:41:55.666,DATA,20902139,"20902139 us"
2026-02-06T15:41:55.666,DATA,20952139,"20952139 us"
2026-02-06T15:41:55.666,DATA,21002139,"21002139 us"
2026-02-06T15:41:55.666,HEARTBEAT,,"Heartbeat. Dropped=0"
2026-02-06T15:41:55.774,DATA,21052139,"21052139 us"
2026-02-06T15:41:55.774,DATA,21102139,"21102139 us"
2026-02-06T15:41:55.881,DATA,21152139,"21152139 us"
2026-02-06T15:41:55.881,DATA,21202139,"21202139 us"
2026-02-06T15:41:55.988,DATA,21252139,"21252139 us"
2026-02-06T15:41:55.988,DATA,21302139,"21302139 us"
2026-02-06T15:41:56.095,DATA,21352139,"21352139 us"
2026-02-06T15:41:56.095,DATA,21402139,"21402139 us"
2026-02-06T15:41:56.203,DATA,21452139,"21452139 us"
2026-02-06T15:41:56.203,DATA,21502139,"21502139 us"
2026-02-06T15:41:56.311,DATA,21552139,"21552139 us"
2026-02-06T15:41:56.311,DATA,21602139,"21602139 us"
2026-02-06T15:41:56.417,DATA,21652139,"21652139 us"
2026-02-06T15:41:56.417,DATA,21702139,"21702139 us"
2026-02-06T15:41:56.417,DATA,21752139,"21752139 us"
2026-02-06T15:41:56.524,DATA,21802139,"21802139 us"
2026-02-06T15:41:56.524,DATA,21852139,"21852139 us"
2026-02-06T15:41:56.631,DATA,21902139,"21902139 us"
2026-02-06T15:41:56.631,DATA,21952139,"21952139 us"
2026-02-06T15:41:56.738,DATA,22002139,"22002139 us"
2026-02-06T15:41:56.738,HEARTBEAT,,"Heartbeat. Dropped=0"
2026-02-06T15:41:56.738,DATA,22052139,"22052139 us"
2026-02-06T15:41:56.844,DATA,22102139,"22102139 us"
2026-02-06T15:41:56.844,DATA,22152139,"22152139 us"
2026-02-06T15:41:56.950,DATA,22202139,"22202139 us"
2026-02-06T15:41:56.950,DATA,22252139,"22252139 us"
2026-02-06T15:41:57.057,DATA,22302139,"22302139 us"
2026-02-06T15:41:57.057,DATA,22352139,"22352139 us"
2026-02-06T15:41:57.164,DATA,22402139,"22402139 us"
2026-02-06T15:41:57.164,DATA,22452139,"22452139 us"
2026-02-06T15:41:57.164,DATA,22502139,"22502139 us"
2026-02-06T15:41:57.270,DATA,22552139,"22552139 us"
2026-02-06T15:41:57.270,DATA,22602139,"22602139 us"
2026-02-06T15:41:57.377,DATA,22652139,"22652139 us"
2026-02-06T15:41:57.377,DATA,22702139,"22702139 us"
2026-02-06T15:41:57.484,DATA,22752139,"22752139 us"
2026-02-06T15:41:57.484,DATA,22802139,"22802139 us"
2026-02-06T15:41:57.592,DATA,22852139,"22852139 us"
