device,vkey,scancode,e0,e1,t1_ns,keyname
293540923,70,33,0,0,802652810274,"F"
293540923,72,35,0,0,802748148474,"H"
293540923,66,48,0,0,802853757574,"B"
293540923,85,22,0,0,802948302774,"U"
293540923,82,19,0,0,803052256374,"R"
293540923,71,34,0,0,803149951874,"G"
293540923,69,18,0,0,803257254574,"E"
293540923,78,49,0,0,803349474774,"N"
293540923,76,38,0,0,803444676574,"L"
293540923,65,30,0,0,803549509574,"A"
293540923,78,49,0,0,803644095774,"N"
293540923,68,32,0,0,803756320074,"D"
293540923,70,33,0,0,803844692774,"F"
293540923,72,35,0,0,803949169074,"H"
293540923,66,48,0,0,804045073874,"B"
293540923,85,22,0,0,804149006774,"U"
293540923,82,19,0,0,804252300274,"R"
293540923,71,34,0,0,804349083274,"G"
293540923,69,18,0,0,804454226974,"E"
293540923,78,49,0,0,804549876274,"N"
293540923,76,38,0,0,804652414074,"L"
293540923,65,30,0,0,804748016174,"A"
293540923,78,49,0,0,804853656974,"N"
293540923,68,32,0,0,804949292374,"D"
293540923,70,33,0,0,805053253574,"F"
293540923,72,35,0,0,805148160874,"H"
293540923,66,48,0,0,805253052074,"B"
293540923,85,22,0,0,805349346374,"U"
293540923,82,19,0,0,805453106974,"R"
293540923,71,34,0,0,805550723574,"G"
293540923,69,18,0,0,805652547474,"E"
293540923,78,49,0,0,805758353674,"N"
293540923,76,38,0,0,805851992774,"L"
293540923,65,30,0,0,805949497674,"A"
293540923,78,49,0,0,806056306374,"N"
293540923,68,32,0,0,806148085474,"D"
293540923,70,33,0,0,806253138674,"F"
293540923,72,35,0,0,806349554374,"H"
293540923,66,48,0,0,806456952474,"B"
293540923,85,22,0,0,806548534674,"U"
293540923,82,19,0,0,806645287074,"R"
293540923,71,34,0,0,806749011474,"G"
293540923,69,18,0,0,806854208174,"E"
293540923,78,49,0,0,806956066074,"N"
293540923,76,38,0,0,807045400774,"L"
293540923,65,30,0,0,807149002774,"A"
293540923,78,49,0,0,807245168974,"N"
293540923,68,32,0,0,807356740074,"D"
293540923,70,33,0,0,807444709474,"F"
293540923,72,35,0,0,807548207274,"H"
293540923,66,48,0,0,807653370374,"B"
293540923,85,22,0,0,807749795374,"U"
293540923,82,19,0,0,807853256674,"R"
293540923,71,34,0,0,807949065674,"G"
293540923,69,18,0,0,808053243774,"E"
293540923,78,49,0,0,808149373774,"N"
293540923,76,38,0,0,808252358774,"L"
293540923,65,30,0,0,808349675774,"A"
293540923,78,49,0,0,808452680274,"N"
293540923,68,32,0,0,808548595174,"D"
293540923,70,33,0,0,808652510774,"F"
293540923,72,35,0,0,808747839174,"H"
293540923,66,48,0,0,808853408774,"B"
293540923,85,22,0,0,808948862474,"U"
293540923,82,19,0,0,809052322574,"R"
293540923,71,34,0,0,809148758474,"G"
293540923,69,18,0,0,809252514574,"E"
293540923,78,49,0,0,809351222974,"N"
293540923,76,38,0,0,809444870174,"L"
293540923,65,30,0,0,809548292374,"A"
293540923,78,49,0,0,809652727874,"N"
293540923,68,32,0,0,809748843774,"D"
293540923,70,33,0,0,809844086574,"F"
293540923,72,35,0,0,809949068674,"H"
293540923,66,48,0,0,810044959074,"B"
293540923,85,22,0,0,810149292974,"U"
293540923,82,19,0,0,810245097974,"R"
293540923,71,34,0,0,810348190074,"G"
293540923,69,18,0,0,810453319474,"E"
293540923,78,49,0,0,810548716174,"N"
293540923,76,38,0,0,810645153374,"L"
293540923,65,30,0,0,810748523474,"A"
293540923,78,49,0,0,810852609774,"N"
293540923,68,32,0,0,810948743574,"D"
293540923,70,33,0,0,811052410074,"F"
293540923,72,35,0,0,811148373874,"H"
293540923,66,48,0,0,811251792774,"B"
293540923,85,22,0,0,811348860674,"U"
293540923,82,19,0,0,811451945374,"R"
293540923,71,34,0,0,811548598074,"G"
293540923,69,18,0,0,811654438774,"E"
293540923,78,49,0,0,811753256274,"N"
293540923,76,38,0,0,811852914374,"L"
293540923,65,30,0,0,811948655774,"A"
293540923,78,49,0,0,812052431274,"N"
293540923,68,32,0,0,812148974374,"D"
293540923,70,33,0,0,812252717474,"F"
293540923,72,35,0,0,812348578274,"H"
293540923,66,48,0,0,812456471974,"B"
293540923,85,22,0,0,812548099774,"U"
293540923,82,19,0,0,812652638474,"R"
293540923,71,34,0,0,812748819974,"G"
293540923,69,18,0,0,812852800074,"E"
293540923,78,49,0,0,812948674674,"N"
293540923,76,38,0,0,813044596674,"L"
293540923,65,30,0,0,813148378974,"A"
293540923,78,49,0,0,813244687374,"N"
293540923,68,32,0,0,813356074374,"D"
293540923,70,33,0,0,813444632874,"F"
293540923,72,35,0,0,813548717074,"H"
293540923,66,48,0,0,813644173874,"B"
293540923,85,22,0,0,813748936874,"U"
293540923,82,19,0,0,813853921574,"R"
293540923,71,34,0,0,813948810674,"G"
293540923,69,18,0,0,814052602874,"E"
293540923,78,49,0,0,814148445174,"N"
293540923,76,38,0,0,814253031574,"L"
293540923,65,30,0,0,814348436374,"A"
293540923,78,49,0,0,814452495374,"N"
293540923,68,32,0,0,814548467574,"D"
293540923,70,33,0,0,814656974874,"F"
293540923,72,35,0,0,814748109274,"H"
293540923,66,48,0,0,814853425074,"B"
293540923,85,22,0,0,814948533174,"U"
293540923,82,19,0,0,815052792574,"R"
293540923,71,34,0,0,815148827974,"G"
293540923,69,18,0,0,815252759674,"E"
293540923,78,49,0,0,815351597474,"N"
293540923,76,38,0,0,815452179974,"L"
293540923,65,30,0,0,815549167874,"A"
293540923,78,49,0,0,815652336374,"N"
293540923,68,32,0,0,815748879474,"D"
293540923,70,33,0,0,815852344274,"F"
293540923,72,35,0,0,815948426774,"H"
293540923,66,48,0,0,816044663074,"B"
293540923,85,22,0,0,816148616474,"U"
293540923,82,19,0,0,816244675574,"R"
293540923,71,34,0,0,816348620874,"G"
293540923,69,18,0,0,816456336774,"E"
293540923,78,49,0,0,816551662574,"N"
293540923,76,38,0,0,816644684374,"L"
293540923,65,30,0,0,816748658174,"A"
293540923,78,49,0,0,816857895174,"N"
293540923,68,32,0,0,816947956574,"D"
293540923,70,33,0,0,817052668574,"F"
293540923,72,35,0,0,817148068474,"H"
293540923,66,48,0,0,817252776874,"B"
293540923,85,22,0,0,817348935674,"U"
293540923,82,19,0,0,817452365574,"R"
293540923,71,34,0,0,817548974774,"G"
293540923,69,18,0,0,817652708074,"E"
293540923,78,49,0,0,817767659274,"N"
293540923,76,38,0,0,817853147574,"L"
293540923,65,30,0,0,817948484974,"A"
293540923,78,49,0,0,818052046174,"N"
293540923,68,32,0,0,818148733674,"D"
293540923,70,33,0,0,818252102874,"F"
293540923,72,35,0,0,818352130074,"H"
293540923,66,48,0,0,818456742574,"B"
293540923,85,22,0,0,818548688174,"U"
293540923,82,19,0,0,818652125274,"R"
293540923,71,34,0,0,818748878474,"G"
293540923,69,18,0,0,818853487374,"E"
293540923,78,49,0,0,818948630974,"N"
293540923,76,38,0,0,819044761174,"L"
293540923,65,30,0,0,819148056074,"A"
293540923,78,49,0,0,819244712474,"N"
293540923,68,32,0,0,819357398874,"D"
293540923,70,33,0,0,819446015274,"F"
293540923,72,35,0,0,819548687274,"H"
293540923,66,48,0,0,819645319974,"B"
293540923,85,22,0,0,819748207774,"U"
293540923,82,19,0,0,819859447074,"R"
293540923,71,34,0,0,819948786774,"G"
293540923,69,18,0,0,820054393274,"E"
293540923,78,49,0,0,820148977574,"N"
293540923,76,38,0,0,820252108374,"L"
293540923,65,30,0,0,820348643674,"A"
293540923,78,49,0,0,820454963274,"N"
293540923,68,32,0,0,820548476874,"D"
293540923,70,33,0,0,820654397574,"F"
293540923,72,35,0,0,820748685574,"H"
293540923,66,48,0,0,820854882974,"B"
293540923,85,22,0,0,820948792274,"U"
293540923,82,19,0,0,821052558074,"R"
293540923,71,34,0,0,821149162474,"G"
293540923,69,18,0,0,821252429574,"E"
293540923,78,49,0,0,821356126574,"N"
293540923,76,38,0,0,821452425874,"L"
293540923,65,30,0,0,821548620674,"A"
293540923,78,49,0,0,821653140774,"N"
293540923,68,32,0,0,821748809874,"D"
293540923,70,33,0,0,821854933074,"F"
293540923,72,35,0,0,821948020274,"H"
293540923,66,48,0,0,822052627074,"B"
293540923,85,22,0,0,822148951174,"U"
293540923,82,19,0,0,822245069874,"R"
293540923,71,34,0,0,822348604474,"G"
293540923,69,18,0,0,822455009974,"E"
293540923,78,49,0,0,822552459474,"N"
293540923,76,38,0,0,822645132374,"L"
293540923,65,30,0,0,822749124474,"A"
293540923,78,49,0,0,822844689074,"N"
293540923,68,32,0,0,822955852374,"D"
293540923,70,33,0,0,823052365974,"F"
293540923,72,35,0,0,823149281474,"H"
293540923,66,48,0,0,823252114774,"B"
293540923,85,22,0,0,823349466674,"U"
293540923,82,19,0,0,823455472574,"R"
293540923,71,34,0,0,823549020474,"G"
293540923,69,18,0,0,823655386674,"E"
293540923,78,49,0,0,823751896774,"N"
293540923,76,38,0,0,823852105874,"L"
293540923,65,30,0,0,823948591074,"A"
293540923,78,49,0,0,824052037074,"N"
293540923,68,32,0,0,824148124274,"D"
293540923,70,33,0,0,824252797474,"F"
293540923,72,35,0,0,824348762174,"H"
293540923,66,48,0,0,824452706174,"B"
293540923,85,22,0,0,824548754674,"U"
293540923,82,19,0,0,824653120874,"R"
293540923,71,34,0,0,824748698774,"G"
293540923,69,18,0,0,824852894974,"E"
293540923,78,49,0,0,824951492574,"N"
293540923,76,38,0,0,825044609674,"L"
293540923,65,30,0,0,825148981174,"A"
293540923,78,49,0,0,825244007674,"N"
293540923,68,32,0,0,825348977674,"D"
293540923,70,33,0,0,825444815774,"F"
293540923,72,35,0,0,825548524874,"H"
293540923,66,48,0,0,825644550874,"B"
293540923,85,22,0,0,825752510174,"U"
293540923,82,19,0,0,825844487074,"R"
293540923,71,34,0,0,825948674974,"G"
293540923,69,18,0,0,826054789374,"E"
293540923,78,49,0,0,826152283674,"N"
293540923,76,38,0,0,826253611274,"L"
293540923,65,30,0,0,826348209674,"A"
293540923,78,49,0,0,826452813774,"N"
293540923,68,32,0,0,826548767274,"D"
293540923,70,33,0,0,826652381074,"F"
293540923,72,35,0,0,826756867474,"H"
293540923,66,48,0,0,826853333474,"B"
293540923,85,22,0,0,826947926174,"U"
293540923,82,19,0,0,827052634274,"R"
293540923,71,34,0,0,827148664874,"G"
293540923,69,18,0,0,827254198274,"E"
293540923,78,49,0,0,827348498674,"N"
293540923,76,38,0,0,827452704074,"L"
293540923,65,30,0,0,827548137974,"A"
293540923,78,49,0,0,827652467474,"N"
293540923,68,32,0,0,827748492674,"D"
293540923,70,33,0,0,827854417074,"F"
293540923,72,35,0,0,827949460774,"H"
293540923,66,48,0,0,828052397874,"B"
293540923,85,22,0,0,828148547074,"U"
293540923,82,19,0,0,828252409874,"R"
293540923,71,34,0,0,828348690874,"G"
293540923,69,18,0,0,828454928974,"E"
293540923,78,49,0,0,828548663374,"N"
293540923,76,38,0,0,828644165374,"L"
293540923,65,30,0,0,828748567874,"A"
293540923,78,49,0,0,828846487574,"N"
293540923,68,32,0,0,828957000274,"D"
293540923,70,33,0,0,829044728374,"F"
293540923,72,35,0,0,829150061174,"H"
293540923,66,48,0,0,829244884574,"B"
293540923,85,22,0,0,829349148774,"U"
293540923,82,19,0,0,829455738374,"R"
293540923,71,34,0,0,829548981974,"G"
293540923,69,18,0,0,829655955674,"E"
293540923,78,49,0,0,829747847974,"N"
293540923,76,38,0,0,829852302474,"L"
293540923,65,30,0,0,829948876474,"A"
293540923,78,49,0,0,830055998574,"N"
293540923,68,32,0,0,830148513574,"D"
293540923,70,33,0,0,830253970474,"F"
293540923,72,35,0,0,830348785174,"H"
293540923,66,48,0,0,830454314674,"B"
293540923,85,22,0,0,830548831174,"U"
293540923,82,19,0,0,830652729574,"R"
293540923,71,34,0,0,830748616874,"G"
293540923,69,18,0,0,830852086474,"E"
293540923,78,49,0,0,830962074474,"N"
293540923,76,38,0,0,831055160174,"L"
293540923,65,30,0,0,831148579574,"A"
293540923,78,49,0,0,831252365474,"N"
293540923,68,32,0,0,831348757374,"D"
293540923,70,33,0,0,831452264474,"F"
293540923,72,35,0,0,831549066274,"H"
293540923,66,48,0,0,831644826874,"B"
293540923,85,22,0,0,831748895374,"U"
293540923,82,19,0,0,831845053674,"R"
293540923,71,34,0,0,831948494974,"G"
293540923,69,18,0,0,832053968874,"E"
293540923,78,49,0,0,832150779974,"N"
293540923,76,38,0,0,832244546774,"L"
293540923,65,30,0,0,832348700874,"A"
293540923,78,49,0,0,832454532474,"N"
293540923,68,32,0,0,832548193774,"D"
