Device,VKey,ScanCode,E0,E1,Edge,HostTimestamp_ns,KeyName
85922219,70,33,0,0,DOWN,344312436988,"F"
85922219,69,18,0,0,DOWN,344352192188,"E"
85922219,72,35,0,0,DOWN,344384254588,"H"
85922219,82,19,0,0,DOWN,344424396588,"R"
85922219,85,22,0,0,DOWN,344455902288,"U"
85922219,78,49,0,0,DOWN,344529116988,"N"
85922219,76,38,0,0,DOWN,344560561688,"L"
85922219,39,77,1,0,DOWN,344594557688,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,344633133888,"B"
85922219,68,32,0,0,DOWN,344672962988,"D"
85922219,71,34,0,0,DOWN,344704306788,"G"
85922219,70,33,0,0,DOWN,344744930688,"F"
85922219,69,18,0,0,DOWN,344784408688,"E"
85922219,82,19,0,0,DOWN,344841326988,"R"
85922219,78,49,0,0,DOWN,344945754888,"N"
85922219,76,38,0,0,DOWN,344984559388,"L"
85922219,39,77,1,0,DOWN,345016182988,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,345057078188,"B"
85922219,68,32,0,0,DOWN,345091655288,"D"
85922219,70,33,0,0,DOWN,345162065788,"F"
85922219,69,18,0,0,DOWN,345193056788,"E"
85922219,82,19,0,0,DOWN,345264176388,"R"
85922219,78,49,0,0,DOWN,345371449188,"N"
85922219,76,38,0,0,DOWN,345404520188,"L"
85922219,39,77,1,0,DOWN,345441584988,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,345472697488,"B"
85922219,68,32,0,0,DOWN,345504206988,"D"
85922219,70,33,0,0,DOWN,345577488288,"F"
85922219,69,18,0,0,DOWN,345615984088,"E"
85922219,82,19,0,0,DOWN,345681186588,"R"
85922219,78,49,0,0,DOWN,345793691188,"N"
85922219,76,38,0,0,DOWN,345817489588,"L"
85922219,39,77,1,0,DOWN,345864595788,"NACH-RECHTS"
85922219,66,48,0,0,DOWN,345888429388,"B"
85922219,68,32,0,0,DOWN,345928425188,"D"
85922219,71,34,0,0,DOWN,345961048088,"G"
85922219,70,33,0,0,DOWN,345991911388,"F"
85922219,69,18,0,0,DOWN,346032541888,"E"
85922219,72,35,0,0,DOWN,346063922188,"H"
85922219,82,19,0,0,DOWN,346104893088,"R"
85922219,85,22,0,0,DOWN,346136447088,"U"
85922219,78,49,0,0,DOWN,346209406388,"N"
85922219,76,38,0,0,DOWN,346239971088,"L"
85922219,39,77,1,0,DOWN,346275650888,"NACH-RECHTS"
