Device,VKey,ScanCode,E0,E1,Edge,HostTimestamp_ns,KeyName
1775085,78,49,0,0,DOWN,1433290676031,"N"
1775085,78,49,0,0,UP,1433378477631,"N"
1775085,78,49,0,0,DOWN,1433410674431,"N"
1775085,78,49,0,0,UP,1433498719631,"N"
1775085,78,49,0,0,DOWN,1433530352431,"N"
1775085,78,49,0,0,UP,1433618399131,"N"
1775085,78,49,0,0,DOWN,1433652447631,"N"
1775085,78,49,0,0,UP,1433738900531,"N"
1775085,78,49,0,0,DOWN,1433770752431,"N"
1775085,78,49,0,0,UP,1433859783231,"N"
1775085,78,49,0,0,DOWN,1433891459631,"N"
1775085,78,49,0,0,UP,1433978366931,"N"
1775085,78,49,0,0,DOWN,1434010462231,"N"
1775085,78,49,0,0,UP,1434098511031,"N"
1775085,78,49,0,0,DOWN,1434132146331,"N"
1775085,78,49,0,0,UP,1434218409931,"N"
1775085,78,49,0,0,DOWN,1434250565231,"N"
1775085,78,49,0,0,UP,1434338774631,"N"
1775085,78,49,0,0,DOWN,1434371338331,"N"
1775085,78,49,0,0,UP,1434458297031,"N"
1775085,78,49,0,0,DOWN,1434490362431,"N"
1775085,78,49,0,0,UP,1434578324731,"N"
1775085,78,49,0,0,DOWN,1434612423431,"N"
1775085,78,49,0,0,UP,1434698717831,"N"
1775085,78,49,0,0,DOWN,1434730377431,"N"
1775085,78,49,0,0,UP,1434818838631,"N"
1775085,78,49,0,0,DOWN,1434851301431,"N"
1775085,78,49,0,0,UP,1434938838031,"N"
1775085,78,49,0,0,DOWN,1434970299931,"N"
1775085,78,49,0,0,UP,1435061498931,"N"
1775085,78,49,0,0,DOWN,1435091802731,"N"
1775085,78,49,0,0,UP,1435178304531,"N"
1775085,78,49,0,0,DOWN,1435202371431,"N"
1775085,78,49,0,0,UP,1435298708531,"N"
1775085,78,49,0,0,DOWN,1435323342731,"N"
1775085,78,49,0,0,UP,1435418321531,"N"
1775085,78,49,0,0,DOWN,1435442348631,"N"
1775085,78,49,0,0,UP,1435538722431,"N"
1775085,78,49,0,0,DOWN,1435571281731,"N"
1775085,78,49,0,0,UP,1435658095331,"N"
1775085,78,49,0,0,DOWN,1435690434131,"N"
1775085,78,49,0,0,UP,1435778497431,"N"
1775085,78,49,0,0,DOWN,1435810146431,"N"
1775085,78,49,0,0,UP,1435898655431,"N"
1775085,78,49,0,0,DOWN,1435930863631,"N"
1775085,78,49,0,0,UP,1436019774631,"N"
1775085,78,49,0,0,DOWN,1436052071031,"N"
1775085,78,49,0,0,UP,1436138293731,"N"
1775085,78,49,0,0,DOWN,1436172135931,"N"
1775085,78,49,0,0,UP,1436258395931,"N"
1775085,78,49,0,0,DOWN,1436291947831,"N"
1775085,78,49,0,0,UP,1436378537131,"N"
1775085,78,49,0,0,DOWN,1436410653531,"N"
1775085,78,49,0,0,UP,1436498776531,"N"
1775085,78,49,0,0,DOWN,1436530263231,"N"
1775085,78,49,0,0,UP,1436618369231,"N"
1775085,78,49,0,0,DOWN,1436650343131,"N"
1775085,78,49,0,0,UP,1436738637331,"N"
1775085,78,49,0,0,DOWN,1436770717531,"N"
1775085,78,49,0,0,UP,1436858564431,"N"
1775085,78,49,0,0,DOWN,1436890724731,"N"
1775085,78,49,0,0,UP,1436978263731,"N"
1775085,78,49,0,0,DOWN,1437010657931,"N"
1775085,78,49,0,0,UP,1437098792031,"N"
1775085,78,49,0,0,DOWN,1437130307131,"N"
1775085,78,49,0,0,UP,1437218398431,"N"
1775085,78,49,0,0,DOWN,1437250544031,"N"
1775085,78,49,0,0,UP,1437338484731,"N"
1775085,78,49,0,0,DOWN,1437369939031,"N"
1775085,78,49,0,0,UP,1437458370431,"N"
1775085,78,49,0,0,DOWN,1437490614831,"N"
1775085,78,49,0,0,UP,1437578512231,"N"
1775085,78,49,0,0,DOWN,1437603029531,"N"
1775085,78,49,0,0,UP,1437701601131,"N"
1775085,78,49,0,0,DOWN,1437723175431,"N"
1775085,78,49,0,0,UP,1437818315931,"N"
1775085,78,49,0,0,DOWN,1437842304831,"N"
1775085,78,49,0,0,UP,1437940520231,"N"
1775085,78,49,0,0,DOWN,1437970897631,"N"
1775085,78,49,0,0,UP,1438058489231,"N"
1775085,78,49,0,0,DOWN,1438090496231,"N"
1775085,78,49,0,0,UP,1438178268731,"N"
1775085,78,49,0,0,DOWN,1438211204231,"N"
1775085,78,49,0,0,UP,1438298692331,"N"
1775085,78,49,0,0,DOWN,1438330198331,"N"
1775085,78,49,0,0,UP,1438418650231,"N"
1775085,78,49,0,0,DOWN,1438450785831,"N"
1775085,78,49,0,0,UP,1438538484631,"N"
1775085,78,49,0,0,DOWN,1438570314231,"N"
1775085,78,49,0,0,UP,1438659572831,"N"
1775085,78,49,0,0,DOWN,1438691327931,"N"
1775085,78,49,0,0,UP,1438778791231,"N"
1775085,78,49,0,0,DOWN,1438810260131,"N"
1775085,78,49,0,0,UP,1438898367231,"N"
1775085,78,49,0,0,DOWN,1438930541931,"N"
1775085,78,49,0,0,UP,1439018386031,"N"
1775085,78,49,0,0,DOWN,1439050707431,"N"
1775085,78,49,0,0,UP,1439138802931,"N"
1775085,78,49,0,0,DOWN,1439170939131,"N"
1775085,78,49,0,0,UP,1439258611931,"N"
1775085,78,49,0,0,DOWN,1439290414831,"N"
1775085,78,49,0,0,UP,1439378661631,"N"
1775085,78,49,0,0,DOWN,1439411475331,"N"
1775085,78,49,0,0,UP,1439498586731,"N"
1775085,78,49,0,0,DOWN,1439530402231,"N"
1775085,78,49,0,0,UP,1439618369431,"N"
1775085,78,49,0,0,DOWN,1439650973531,"N"
1775085,78,49,0,0,UP,1439738641531,"N"
1775085,78,49,0,0,DOWN,1439770411431,"N"
1775085,78,49,0,0,UP,1439858092631,"N"
1775085,78,49,0,0,DOWN,1439890281931,"N"
1775085,78,49,0,0,UP,1439978423331,"N"
1775085,78,49,0,0,DOWN,1440010652131,"N"
1775085,78,49,0,0,UP,1440099886231,"N"
1775085,78,49,0,0,DOWN,1440123394131,"N"
1775085,78,49,0,0,UP,1440218759631,"N"
1775085,78,49,0,0,DOWN,1440242775731,"N"
1775085,78,49,0,0,UP,1440338309631,"N"
1775085,78,49,0,0,DOWN,1440362433731,"N"
1775085,78,49,0,0,UP,1440458382931,"N"
1775085,78,49,0,0,DOWN,1440490352631,"N"
1775085,78,49,0,0,UP,1440578106431,"N"
1775085,78,49,0,0,DOWN,1440611853831,"N"
1775085,78,49,0,0,UP,1440698676531,"N"
1775085,78,49,0,0,DOWN,1440730448831,"N"
1775085,78,49,0,0,UP,1440818506331,"N"
1775085,78,49,0,0,DOWN,1440850590131,"N"
1775085,78,49,0,0,UP,1441055513731,"N"
460196725,17,29,0,0,DOWN,1456338997131,"STRG"
460196725,67,46,0,0,DOWN,1456443917131,"C"
