timestamp_iso,raw_hex,text
2026-02-06T08:17:38.313,"5069636F204750494F2074696D657374616D70206669726D7761726520776974682062756666657220737461727465642E204750494F313520616374697665206576657279203530206D730D0A","Pico GPIO timestamp firmware with buffer started. GPIO15 active every 50 ms\x0D\x0A"
2026-02-06T08:17:38.418,"32303035313035352075730D0A32303130313035352075730D0A32303135313035352075730D0A","20051055 us\x0D\x0A20101055 us\x0D\x0A20151055 us\x0D\x0A"
2026-02-06T08:17:38.523,"32303230313035352075730D0A32303235313035352075730D0A","20201055 us\x0D\x0A20251055 us\x0D\x0A"
2026-02-06T08:17:38.628,"32303330313035352075730D0A32303335313035352075730D0A","20301055 us\x0D\x0A20351055 us\x0D\x0A"
2026-02-06T08:17:38.733,"32303430313035352075730D0A32303435313035352075730D0A","20401055 us\x0D\x0A20451055 us\x0D\x0A"
2026-02-06T08:17:38.839,"32303530313035352075730D0A32303535313035352075730D0A","20501055 us\x0D\x0A20551055 us\x0D\x0A"
2026-02-06T08:17:38.945,"32303630313035352075730D0A32303635313035352075730D0A","20601055 us\x0D\x0A20651055 us\x0D\x0A"
2026-02-06T08:17:39.051,"32303730313035352075730D0A32303735313035352075730D0A","20701055 us\x0D\x0A20751055 us\x0D\x0A"
2026-02-06T08:17:39.156,"32303830313035352075730D0A32303835313035352075730D0A","20801055 us\x0D\x0A20851055 us\x0D\x0A"
2026-02-06T08:17:39.262,"32303930313035352075730D0A32303935313035352075730D0A","20901055 us\x0D\x0A20951055 us\x0D\x0A"
2026-02-06T08:17:39.367,"32313030313035352075730D0A4865617274626561742E2044726F707065643D300D0A32313035313035352075730D0A32313130313035352075730D0A","21001055 us\x0D\x0AHeartbeat. Dropped=0\x0D\x0A21051055 us\x0D\x0A21101055 us\x0D\x0A"
2026-02-06T08:17:39.473,"32313135313035352075730D0A32313230313035352075730D0A","21151055 us\x0D\x0A21201055 us\x0D\x0A"
2026-02-06T08:17:39.578,"32313235313035352075730D0A32313330313035352075730D0A","21251055 us\x0D\x0A21301055 us\x0D\x0A"
2026-02-06T08:17:39.682,"32313335313035352075730D0A32313430313035352075730D0A","21351055 us\x0D\x0A21401055 us\x0D\x0A"
2026-02-06T08:17:39.789,"32313435313035352075730D0A32313530313035352075730D0A","21451055 us\x0D\x0A21501055 us\x0D\x0A"
2026-02-06T08:17:39.894,"32313535313035352075730D0A32313630313035352075730D0A","21551055 us\x0D\x0A21601055 us\x0D\x0A"
2026-02-06T08:17:40.000,"32313635313035352075730D0A32313730313035352075730D0A","21651055 us\x0D\x0A21701055 us\x0D\x0A"
2026-02-06T08:17:40.107,"32313735313035352075730D0A32313830313035352075730D0A","21751055 us\x0D\x0A21801055 us\x0D\x0A"
2026-02-06T08:17:40.212,"32313835313035352075730D0A32313930313035352075730D0A","21851055 us\x0D\x0A21901055 us\x0D\x0A"
2026-02-06T08:17:40.316,"32313935313035352075730D0A32323030313035352075730D0A4865617274626561742E2044726F707065643D300D0A32323035313035352075730D0A","21951055 us\x0D\x0A22001055 us\x0D\x0AHeartbeat. Dropped=0\x0D\x0A22051055 us\x0D\x0A"
2026-02-06T08:17:40.423,"32323130313035352075730D0A32323135313035352075730D0A","22101055 us\x0D\x0A22151055 us\x0D\x0A"
2026-02-06T08:17:40.530,"32323230313035352075730D0A32323235313035352075730D0A","22201055 us\x0D\x0A22251055 us\x0D\x0A"
2026-02-06T08:17:40.636,"32323330313035352075730D0A32323335313035352075730D0A","22301055 us\x0D\x0A22351055 us\x0D\x0A"
2026-02-06T08:17:40.743,"32323430313035352075730D0A32323435313035352075730D0A","22401055 us\x0D\x0A22451055 us\x0D\x0A"
2026-02-06T08:17:40.849,"32323530313035352075730D0A32323535313035352075730D0A","22501055 us\x0D\x0A22551055 us\x0D\x0A"
2026-02-06T08:17:40.955,"32323630313035352075730D0A32323635313035352075730D0A","22601055 us\x0D\x0A22651055 us\x0D\x0A"
2026-02-06T08:17:41.063,"32323730313035352075730D0A32323735313035352075730D0A","22701055 us\x0D\x0A22751055 us\x0D\x0A"
2026-02-06T08:17:41.170,"32323830313035352075730D0A32323835313035352075730D0A32323930313035352075730D0A","22801055 us\x0D\x0A22851055 us\x0D\x0A22901055 us\x0D\x0A"
2026-02-06T08:17:41.275,"32323935313035352075730D0A32333030313035352075730D0A4865617274626561742E2044726F707065643D300D0A","22951055 us\x0D\x0A23001055 us\x0D\x0AHeartbeat. Dropped=0\x0D\x0A"
2026-02-06T08:17:41.382,"32333035313035352075730D0A32333130313035352075730D0A","23051055 us\x0D\x0A23101055 us\x0D\x0A"
2026-02-06T08:17:41.488,"32333135313035352075730D0A32333230313035352075730D0A","23151055 us\x0D\x0A23201055 us\x0D\x0A"
2026-02-06T08:17:41.594,"32333235313035352075730D0A32333330313035352075730D0A","23251055 us\x0D\x0A23301055 us\x0D\x0A"
2026-02-06T08:17:41.699,"32333335313035352075730D0A32333430313035352075730D0A","23351055 us\x0D\x0A23401055 us\x0D\x0A"
2026-02-06T08:17:41.805,"32333435313035352075730D0A32333530313035352075730D0A","23451055 us\x0D\x0A23501055 us\x0D\x0A"
