Device,VKey,ScanCode,E0,E1,Edge,HostTimestamp_ns
85922219,70,33,0,0,DOWN,199715986459
85922219,70,33,0,0,UP,199741319159
85922219,69,18,0,0,DOWN,199747004659
85922219,72,35,0,0,DOWN,199771643659
85922219,69,18,0,0,UP,199787869859
85922219,72,35,0,0,UP,199795518059
85922219,82,19,0,0,DOWN,199802775059
85922219,85,22,0,0,DOWN,199835716359
85922219,82,19,0,0,UP,199851302059
85922219,85,22,0,0,UP,199867658959
85922219,78,49,0,0,DOWN,199891410559
85922219,76,38,0,0,DOWN,199923807159
85922219,78,49,0,0,UP,199931282759
85922219,39,77,1,0,DOWN,199956080859
85922219,76,38,0,0,UP,199963495259
85922219,39,77,1,0,UP,199980080659
85922219,66,48,0,0,DOWN,199986850259
85922219,68,32,0,0,DOWN,200011331459
85922219,66,48,0,0,UP,200043469759
85922219,71,34,0,0,DOWN,200044977259
85922219,68,32,0,0,UP,200059297159
85922219,71,34,0,0,UP,200067162559
85922219,70,33,0,0,DOWN,200075157759
85922219,70,33,0,0,UP,200107846259
85922219,69,18,0,0,DOWN,200109208359
85922219,72,35,0,0,DOWN,200131629459
85922219,69,18,0,0,UP,200147409659
85922219,72,35,0,0,UP,200163217259
85922219,82,19,0,0,DOWN,200170854159
85922219,85,22,0,0,DOWN,200195331159
85922219,82,19,0,0,UP,200211318659
85922219,85,22,0,0,UP,200218876559
85922219,78,49,0,0,DOWN,200250955559
85922219,76,38,0,0,DOWN,200283014359
85922219,78,49,0,0,UP,200290898059
85922219,39,77,1,0,DOWN,200315099959
85922219,76,38,0,0,UP,200323012359
85922219,39,77,1,0,UP,200339294259
85922219,66,48,0,0,DOWN,200347321859
85922219,68,32,0,0,DOWN,200370892459
85922219,66,48,0,0,UP,200395614459
85922219,68,32,0,0,UP,200419662559
85922219,70,33,0,0,DOWN,200436193159
85922219,70,33,0,0,UP,200459999959
85922219,69,18,0,0,DOWN,200467082459
85922219,69,18,0,0,UP,200507556759
85922219,82,19,0,0,DOWN,200523571459
85922219,82,19,0,0,UP,200571270159
85922219,78,49,0,0,DOWN,200619701959
85922219,76,38,0,0,DOWN,200643976859
85922219,78,49,0,0,UP,200658970459
85922219,76,38,0,0,UP,200676769859
85922219,39,77,1,0,DOWN,200677660559
85922219,39,77,1,0,UP,200699093459
85922219,66,48,0,0,DOWN,200707138959
85922219,68,32,0,0,DOWN,200739360959
85922219,66,48,0,0,UP,200746902259
85922219,68,32,0,0,UP,200779377459
85922219,70,33,0,0,DOWN,200795121059
85922219,70,33,0,0,UP,200819050159
85922219,69,18,0,0,DOWN,200827068059
85922219,69,18,0,0,UP,200867119459
85922219,82,19,0,0,DOWN,200883005659
85922219,82,19,0,0,UP,200930940859
85922219,78,49,0,0,DOWN,200979040659
85922219,76,38,0,0,DOWN,201002825459
85922219,78,49,0,0,UP,201019144359
85922219,76,38,0,0,UP,201035396759
85922219,39,77,1,0,DOWN,201035916959
85922219,39,77,1,0,UP,201059045059
85922219,66,48,0,0,DOWN,201067022159
