Device,VKey,ScanCode,E0,E1,Edge,HostTimestamp_ns
65633,65,30,0,0,DOWN,145651609148
65633,83,31,0,0,DOWN,145690934348
65633,68,32,0,0,DOWN,145723507048
65633,65,30,0,0,UP,145762723548
65633,70,33,0,0,DOWN,145778910848
65633,83,31,0,0,UP,145818373448
65633,68,32,0,0,UP,145826327148
65633,70,33,0,0,UP,145938350348
65633,79,24,0,0,DOWN,145946345448
65633,57,10,0,0,DOWN,145946809048
65633,87,17,0,0,DOWN,146010181948
65633,57,10,0,0,UP,146034286448
65633,79,24,0,0,UP,146051046448
65633,69,18,0,0,DOWN,146106382348
65633,87,17,0,0,UP,146114417148
65633,70,33,0,0,DOWN,146218609648
65633,69,18,0,0,UP,146234907048
65633,79,24,0,0,DOWN,146298796248
65633,70,33,0,0,UP,146330909048
65633,226,86,0,0,DOWN,146362501548
65633,79,24,0,0,UP,146378817348
65633,78,49,0,0,DOWN,146426899948
65633,86,47,0,0,DOWN,146434632248
65633,226,86,0,0,UP,146450898948
65633,79,24,0,0,DOWN,146546880248
65633,78,49,0,0,UP,146554906448
65633,83,31,0,0,DOWN,146570604348
65633,83,31,0,0,UP,146603452048
65633,79,24,0,0,UP,146674838448
65633,78,49,0,0,DOWN,146690427848
65633,86,47,0,0,UP,146699655548
65633,65,30,0,0,DOWN,146746519048
65633,78,49,0,0,UP,146794748348
65633,79,24,0,0,DOWN,146818873948
65633,83,31,0,0,DOWN,146826602748
65633,68,32,0,0,DOWN,146867067048
65633,65,30,0,0,UP,146946929048
65633,79,24,0,0,UP,146948217948
65633,83,31,0,0,UP,146949761248
65633,72,35,0,0,DOWN,146951245048
65633,70,33,0,0,DOWN,146952230148
65633,68,32,0,0,UP,146962261948
65633,72,35,0,0,UP,147050442248
65633,79,24,0,0,DOWN,147074527948
65633,65,30,0,0,DOWN,147090132648
65633,70,33,0,0,UP,147098461348
65633,87,17,0,0,DOWN,147099085448
65633,72,35,0,0,DOWN,147178417548
65633,79,24,0,0,UP,147186223748
65633,87,17,0,0,UP,147218455948
65633,65,30,0,0,UP,147259063948
65633,72,35,0,0,UP,147298900548
65633,78,49,0,0,DOWN,147442730548
65633,74,36,0,0,DOWN,147450512448
65633,74,36,0,0,UP,147491164848
65633,192,39,0,0,DOWN,147594468248
65633,78,49,0,0,UP,147610673748
65633,75,37,0,0,DOWN,147626585448
65633,192,39,0,0,UP,147690383448
65633,74,36,0,0,DOWN,147706708348
65633,75,37,0,0,UP,147714393048
65633,78,49,0,0,DOWN,147715002448
65633,66,48,0,0,DOWN,147715323348
65633,74,36,0,0,UP,147762455948
65633,78,49,0,0,UP,147842346448
65633,73,23,0,0,DOWN,147858321348
65633,192,39,0,0,DOWN,147866388748
65633,80,25,0,0,DOWN,147874259748
65633,65,30,0,0,DOWN,147914338348
65633,66,48,0,0,UP,147922282348
65633,80,25,0,0,UP,147922928148
65633,83,31,0,0,DOWN,147923054048
65633,192,39,0,0,UP,147930268248
65633,73,23,0,0,UP,148074256048
65633,73,23,0,0,DOWN,148082383548
65633,83,31,0,0,UP,148106617348
65633,65,30,0,0,UP,148130302648
65633,85,22,0,0,DOWN,148138321048
65633,73,23,0,0,UP,148218659148
65633,85,22,0,0,UP,148219742848
65633,72,35,0,0,DOWN,148220328948
65633,71,34,0,0,DOWN,148221056648
65633,70,33,0,0,DOWN,148221441248
65633,72,35,0,0,UP,148258528448
65633,71,34,0,0,UP,148266078948
65633,70,33,0,0,UP,148290384148
65633,226,86,0,0,DOWN,148298083748
65633,83,31,0,0,DOWN,148346378048
65633,85,22,0,0,DOWN,148354313848
65633,72,35,0,0,DOWN,148362517448
65633,70,33,0,0,DOWN,148394482248
65633,226,86,0,0,UP,148410581148
65633,78,49,0,0,DOWN,148410835048
65633,85,22,0,0,UP,148418239848
65633,83,31,0,0,UP,148434603448
65633,78,49,0,0,UP,148466485348
65633,72,35,0,0,UP,148482425748
65633,70,33,0,0,UP,148546435148
65633,17,29,0,0,DOWN,148682391548
65633,17,29,0,0,UP,148826886648
65633,17,29,0,0,DOWN,149234584848
65633,67,46,0,0,DOWN,149570173548
