timestamp_iso,line_type,us_value,text
2026-02-06T08:21:17.765,INFO,,"Pico GPIO timestamp firmware with buffer started. GPIO15 active every 50 ms"
2026-02-06T08:21:17.871,DATA,20051066,"20051066 us"
2026-02-06T08:21:17.871,DATA,20101065,"20101065 us"
2026-02-06T08:21:17.976,DATA,20151065,"20151065 us"
2026-02-06T08:21:17.976,DATA,20201065,"20201065 us"
2026-02-06T08:21:18.082,DATA,20251065,"20251065 us"
2026-02-06T08:21:18.082,DATA,20301065,"20301065 us"
2026-02-06T08:21:18.187,DATA,20351065,"20351065 us"
2026-02-06T08:21:18.187,DATA,20401065,"20401065 us"
2026-02-06T08:21:18.292,DATA,20451065,"20451065 us"
2026-02-06T08:21:18.292,DATA,20501065,"20501065 us"
2026-02-06T08:21:18.292,DATA,20551065,"20551065 us"
2026-02-06T08:21:18.399,DATA,20601065,"20601065 us"
2026-02-06T08:21:18.399,DATA,20651065,"20651065 us"
2026-02-06T08:21:18.505,DATA,20701065,"20701065 us"
2026-02-06T08:21:18.505,DATA,20751065,"20751065 us"
2026-02-06T08:21:18.610,DATA,20801065,"20801065 us"
2026-02-06T08:21:18.610,DATA,20851065,"20851065 us"
2026-02-06T08:21:18.715,DATA,20901065,"20901065 us"
2026-02-06T08:21:18.715,DATA,20951065,"20951065 us"
2026-02-06T08:21:18.821,DATA,21001065,"21001065 us"
2026-02-06T08:21:18.821,HEARTBEAT,,"Heartbeat. Dropped=0"
2026-02-06T08:21:18.821,DATA,21051065,"21051065 us"
2026-02-06T08:21:18.927,DATA,21101065,"21101065 us"
2026-02-06T08:21:18.927,DATA,21151065,"21151065 us"
2026-02-06T08:21:19.033,DATA,21201065,"21201065 us"
2026-02-06T08:21:19.033,DATA,21251065,"21251065 us"
2026-02-06T08:21:19.137,DATA,21301065,"21301065 us"
2026-02-06T08:21:19.137,DATA,21351065,"21351065 us"
2026-02-06T08:21:19.242,DATA,21401065,"21401065 us"
2026-02-06T08:21:19.242,DATA,21451065,"21451065 us"
2026-02-06T08:21:19.242,DATA,21501065,"21501065 us"
2026-02-06T08:21:19.347,DATA,21551065,"21551065 us"
2026-02-06T08:21:19.347,DATA,21601065,"21601065 us"
2026-02-06T08:21:19.452,DATA,21651065,"21651065 us"
2026-02-06T08:21:19.452,DATA,21701065,"21701065 us"
2026-02-06T08:21:19.556,DATA,21751065,"21751065 us"
2026-02-06T08:21:19.556,DATA,21801065,"21801065 us"
2026-02-06T08:21:19.661,DATA,21851065,"21851065 us"
2026-02-06T08:21:19.661,DATA,21901065,"21901065 us"
2026-02-06T08:21:19.767,DATA,21951065,"21951065 us"
2026-02-06T08:21:19.767,DATA,22001065,"22001065 us"
2026-02-06T08:21:19.767,HEARTBEAT,,"Heartbeat. Dropped=0"
2026-02-06T08:21:19.872,DATA,22051065,"22051065 us"
2026-02-06T08:21:19.872,DATA,22101065,"22101065 us"
2026-02-06T08:21:19.977,DATA,22151065,"22151065 us"
2026-02-06T08:21:19.977,DATA,22201065,"22201065 us"
2026-02-06T08:21:20.082,DATA,22251065,"22251065 us"
2026-02-06T08:21:20.082,DATA,22301065,"22301065 us"
2026-02-06T08:21:20.187,DATA,22351065,"22351065 us"
2026-02-06T08:21:20.187,DATA,22401065,"22401065 us"
2026-02-06T08:21:20.292,DATA,22451065,"22451065 us"
2026-02-06T08:21:20.292,DATA,22501065,"22501065 us"
2026-02-06T08:21:20.292,DATA,22551065,"22551065 us"
2026-02-06T08:21:20.397,DATA,22601065,"22601065 us"
2026-02-06T08:21:20.397,DATA,22651065,"22651065 us"
2026-02-06T08:21:20.503,DATA,22701065,"22701065 us"
2026-02-06T08:21:20.503,DATA,22751065,"22751065 us"
2026-02-06T08:21:20.608,DATA,22801065,"22801065 us"
2026-02-06T08:21:20.608,DATA,22851065,"22851065 us"
2026-02-06T08:21:20.712,DATA,22901065,"22901065 us"
2026-02-06T08:21:20.712,DATA,22951065,"22951065 us"
2026-02-06T08:21:20.818,DATA,23001065,"23001065 us"
2026-02-06T08:21:20.818,HEARTBEAT,,"Heartbeat. Dropped=0"
2026-02-06T08:21:20.818,DATA,23051065,"23051065 us"
2026-02-06T08:21:20.923,DATA,23101065,"23101065 us"
2026-02-06T08:21:20.923,DATA,23151065,"23151065 us"
2026-02-06T08:21:21.028,DATA,23201065,"23201065 us"
2026-02-06T08:21:21.028,DATA,23251065,"23251065 us"
2026-02-06T08:21:21.133,DATA,23301065,"23301065 us"
2026-02-06T08:21:21.133,DATA,23351065,"23351065 us"
2026-02-06T08:21:21.238,DATA,23401065,"23401065 us"
2026-02-06T08:21:21.238,DATA,23451065,"23451065 us"
2026-02-06T08:21:21.343,DATA,23501065,"23501065 us"
2026-02-06T08:21:21.343,DATA,23551065,"23551065 us"
2026-02-06T08:21:21.343,DATA,23601065,"23601065 us"
2026-02-06T08:21:21.448,DATA,23651065,"23651065 us"
2026-02-06T08:21:21.448,DATA,23701065,"23701065 us"
2026-02-06T08:21:21.553,DATA,23751065,"23751065 us"
2026-02-06T08:21:21.553,DATA,23801065,"23801065 us"
2026-02-06T08:21:21.658,DATA,23851065,"23851065 us"
2026-02-06T08:21:21.658,DATA,23901065,"23901065 us"
2026-02-06T08:21:21.764,DATA,23951065,"23951065 us"
2026-02-06T08:21:21.764,DATA,24001065,"24001065 us"
2026-02-06T08:21:21.764,HEARTBEAT,,"Heartbeat. Dropped=0"
2026-02-06T08:21:21.870,DATA,24051065,"24051065 us"
2026-02-06T08:21:21.870,DATA,24101065,"24101065 us"
