seq,cycle,pos,char,gpio,t0_ns,t1_ns,t_latency_ns,valid,t_latency_ms,t_latency_ns_raw,t_latency_ns_drift
62,5,2,B,4,26271419000,1398223916032,-2740926,True,-2.740926,1371952497032,-2129687
63,5,3,U,15,26371421000,1398333190332,6533608,True,6.533608,1371961769332,7144847
64,5,4,R,14,26471422000,1398423216132,-3439356,True,-3.439356,1371951794132,-2828117
65,5,5,G,10,26571424000,1398527803032,1147779,True,1.147779,1371956379032,1759018
66,5,6,E,12,26671426000,1398629835332,3180314,True,3.180314,1371958409332,3791553
67,5,7,N,1,26771426000,1398728001832,1349050,True,1.34905,1371956575832,1960289
67,5,7,N,1,26771426000,1398728001832,1349050,True,1.34905,1371956575832,1960289
68,5,8,L,2,26871428000,1398823694332,-2958214,True,-2.958214,1371952266332,-2346975
69,5,9,A,0,26971429000,1398919801832,-6849479,True,-6.849479,1371948372832,-6238240
70,5,10,N,1,27071430000,1399023847832,-2802243,True,-2.802243,1371952417832,-2191004
70,5,10,N,1,27071430000,1399023847832,-2802243,True,-2.802243,1371952417832,-2191004
71,5,11,D,5,27171432000,1399129915232,3265391,True,3.265391,1371958483232,3876630
72,6,0,F,11,27271435000,1399223987332,-2663273,True,-2.663273,1371952552332,-2052034
73,6,1,H,13,27371436000,1399320562432,-6086937,True,-6.086937,1371949126432,-5475698
74,6,2,B,4,27471438000,1399423848632,-2800502,True,-2.800502,1371952410632,-2189263
75,6,3,U,15,27571439000,1399519233132,-7414767,True,-7.414767,1371947794132,-6803528
76,6,4,R,14,27671441000,1399624320532,-2327131,True,-2.327131,1371952879532,-1715892
77,6,5,G,10,27771444000,1399720493832,-6154596,True,-6.154596,1371949049832,-5543357
78,6,6,E,12,27871445000,1399837057032,10409838,True,10.409838,1371965612032,11021077
79,6,7,N,1,27971446000,1399928438332,1792374,True,1.792374,1371956992332,2403613
79,6,7,N,1,27971446000,1399928438332,1792374,True,1.792374,1371956992332,2403613
80,6,8,L,2,28071448000,1400024645132,-2000590,True,-2.00059,1371953197132,-1389351
81,6,9,A,0,28171450000,1400127600832,955345,True,0.955345,1371956150832,1566584
82,6,10,N,1,28271453000,1400224090332,-2555919,True,-2.555919,1371952637332,-1944680
82,6,10,N,1,28271453000,1400224090332,-2555919,True,-2.555919,1371952637332,-1944680
83,6,11,D,5,28371456000,1400327262132,615115,True,0.615115,1371955806132,1226354
84,7,0,F,11,28471458000,1400423309432,-3337348,True,-3.337348,1371951851432,-2726109
85,7,1,H,13,28571460000,1400527646232,999686,True,0.999686,1371956186232,1610925
86,7,2,B,4,28671462000,1400623075132,-3571178,True,-3.571178,1371951613132,-2959939
87,7,3,U,15,28771463000,1400728328532,1683457,True,1.683457,1371956865532,2294696
88,7,4,R,14,28871465000,1400824969832,-1675007,True,-1.675007,1371953504832,-1063768
89,7,5,G,10,28971467000,1400927939032,1294427,True,1.294427,1371956472032,1905666
90,7,6,E,12,29071469000,1401023714732,-2929636,True,-2.929636,1371952245732,-2318397
91,7,7,N,1,29171470000,1401134940832,8297698,True,8.297698,1371963470832,8908937
