device,vkey,scancode,e0,e1,t1_ns,keyname
131139,13,28,0,0,1376004382632,"EINGABE"
293540923,70,33,0,0,1392023917432,"F"
293540923,72,35,0,0,1392130099332,"H"
293540923,66,48,0,0,1392226814432,"B"
293540923,85,22,0,0,1392327973932,"U"
293540923,82,19,0,0,1392423179832,"R"
293540923,71,34,0,0,1392527679932,"G"
293540923,69,18,0,0,1392632129932,"E"
293540923,78,49,0,0,1392727061932,"N"
293540923,76,38,0,0,1392826951432,"L"
293540923,65,30,0,0,1392920519232,"A"
293540923,78,49,0,0,1393023894232,"N"
293540923,68,32,0,0,1393128684432,"D"
293540923,70,33,0,0,1393223853732,"F"
293540923,72,35,0,0,1393320384132,"H"
293540923,66,48,0,0,1393425226732,"B"
293540923,85,22,0,0,1393529021932,"U"
293540923,82,19,0,0,1393624146532,"R"
293540923,71,34,0,0,1393727880332,"G"
293540923,69,18,0,0,1393823581832,"E"
293540923,78,49,0,0,1393929245832,"N"
293540923,76,38,0,0,1394024250332,"L"
293540923,65,30,0,0,1394127479232,"A"
293540923,78,49,0,0,1394223635032,"N"
293540923,68,32,0,0,1394328779732,"D"
293540923,70,33,0,0,1394422974132,"F"
293540923,72,35,0,0,1394527681232,"H"
293540923,66,48,0,0,1394624869032,"B"
293540923,85,22,0,0,1394727353632,"U"
293540923,82,19,0,0,1394823238132,"R"
293540923,71,34,0,0,1394927505632,"G"
293540923,69,18,0,0,1395023473832,"E"
293540923,78,49,0,0,1395133686432,"N"
293540923,76,38,0,0,1395223596632,"L"
293540923,65,30,0,0,1395319695832,"A"
293540923,78,49,0,0,1395423515732,"N"
293540923,68,32,0,0,1395527252232,"D"
293540923,70,33,0,0,1395624701232,"F"
293540923,72,35,0,0,1395727197532,"H"
293540923,66,48,0,0,1395825145432,"B"
293540923,85,22,0,0,1395921311232,"U"
293540923,82,19,0,0,1396024747332,"R"
293540923,71,34,0,0,1396119624532,"G"
293540923,69,18,0,0,1396232110032,"E"
293540923,78,49,0,0,1396320388332,"N"
293540923,76,38,0,0,1396422985932,"L"
293540923,65,30,0,0,1396520846532,"A"
293540923,78,49,0,0,1396623877632,"N"
293540923,68,32,0,0,1396729123832,"D"
293540923,70,33,0,0,1396823224332,"F"
293540923,72,35,0,0,1396927677832,"H"
293540923,66,48,0,0,1397024798832,"B"
293540923,85,22,0,0,1397128606932,"U"
293540923,82,19,0,0,1397223056932,"R"
293540923,71,34,0,0,1397327351832,"G"
293540923,69,18,0,0,1397423118332,"E"
293540923,78,49,0,0,1397527349532,"N"
293540923,76,38,0,0,1397624847932,"L"
293540923,65,30,0,0,1397730998132,"A"
