seq,cycle,pos,char,gpio,t0_ns,t1_ns,t_latency_ns,valid,t_latency_ms,t_latency_ns_raw,t_latency_ns_drift
148,12,4,R,14,34871574000,1406834669832,8050114,True,8.050114,1371963095832,8661353
206,17,2,B,4,40671681000,1412634886232,8289164,True,8.289164,1371963205232,8900403
255,21,3,U,15,45571772000,1417540531432,13952897,True,13.952897,1371968759432,14564136
295,24,7,N,1,49571843000,1421539362332,12802211,True,12.802211,1371967519332,13413450
295,24,7,N,1,49571843000,1421539362332,12802211,True,12.802211,1371967519332,13413450
335,27,11,D,5,53571916000,1425531414032,4870325,True,4.870325,1371959498032,5481564
336,28,0,F,11,53671918000,1425633805732,7262261,True,7.262261,1371961887732,7873500
356,29,8,L,2,55671956000,1427634775332,8238568,True,8.238568,1371962819332,8849807
376,31,4,R,14,57671997000,1429631377232,4844175,True,4.844175,1371959380232,5455414
