seq,cycle,pos,char,gpio,t0_us,host_rx_ns
158,13,2,B,4,35871597,1407875233432
159,13,3,U,15,35971599,1407969226232
160,13,4,R,14,36071600,1408080606532
161,13,5,G,10,36171602,1408175970732
162,13,6,E,12,36271604,1408272751932
163,13,7,N,1,36371605,1408367449532
164,13,8,L,2,36471606,1408478590332
165,13,9,A,0,36571609,1408567933132
166,13,10,N,1,36671612,1408679468632
167,13,11,D,5,36771614,1408791005032
168,14,0,F,11,36871616,1408870265832
169,14,1,H,13,36971618,1408980335532
170,14,2,B,4,37071620,1409074894232
171,14,3,U,15,37171622,1409170180632
172,14,4,R,14,37271625,1409281973732
173,14,5,G,10,37371627,1409377628332
174,14,6,E,12,37471629,1409473453932
175,14,7,N,1,37571630,1409569806932
176,14,8,L,2,37671632,1409680955832
177,14,9,A,0,37771634,1409775498632
178,14,10,N,1,37871635,1409870948232
179,14,11,D,5,37971637,1409982086032
180,15,0,F,11,38071639,1410077303532
181,15,1,H,13,38171640,1410173050532
182,15,2,B,4,38271643,1410268891032
183,15,3,U,15,38371645,1410380805432
184,15,4,R,14,38471647,1410477077532
185,15,5,G,10,38571648,1410573159932
186,15,6,E,12,38671649,1410668743532
187,15,7,N,1,38771650,1410778858132
188,15,8,L,2,38871651,1410874723732
189,15,9,A,0,38971652,1410971028132
190,15,10,N,1,39071655,1411081588632
191,15,11,D,5,39171657,1411192898332
192,16,0,F,11,39271659,1411272556932
193,16,1,H,13,39371659,1411367623832
194,16,2,B,4,39471661,1411478370032
195,16,3,U,15,39571663,1411573194832
196,16,4,R,14,39671665,1411668154632
197,16,5,G,10,39771666,1411778464432
198,16,6,E,12,39871668,1411872131232
199,16,7,N,1,39971671,1411968350432
200,16,8,L,2,40071672,1412078360732
201,16,9,A,0,40171673,1412171254832
202,16,10,N,1,40271675,1412280976032
203,16,11,D,5,40371677,1412392305132
204,17,0,F,11,40471679,1412469220232
205,17,1,H,13,40571681,1412579177532
206,17,2,B,4,40671681,1412674457232
207,17,3,U,15,40771682,1412769094432
208,17,4,R,14,40871683,1412866082932
209,17,5,G,10,40971685,1412976425032
210,17,6,E,12,41071687,1413071693432
211,17,7,N,1,41171689,1413181789432
212,17,8,L,2,41271691,1413276637832
213,17,9,A,0,41371693,1413371550832
214,17,10,N,1,41471695,1413482215432
215,17,11,D,5,41571698,1413592899032
216,18,0,F,11,41671699,1413671653832
217,18,1,H,13,41771702,1413781265432
218,18,2,B,4,41871703,1413875760232
219,18,3,U,15,41971705,1413971163232
220,18,4,R,14,42071706,1414081707232
221,18,5,G,10,42171708,1414176297432
222,18,6,E,12,42271710,1414271321832
223,18,7,N,1,42371713,1414381507832
224,18,8,L,2,42471715,1414477007932
225,18,9,A,0,42571716,1414571313632
226,18,10,N,1,42671717,1414680843432
227,18,11,D,5,42771719,1414791121932
228,19,0,F,11,42871721,1414868267532
229,19,1,H,13,42971723,1414976935232
230,19,2,B,4,43071725,1415071715932
231,19,3,U,15,43171727,1415182501232
232,19,4,R,14,43271728,1415277368832
233,19,5,G,10,43371730,1415371155332
234,19,6,E,12,43471732,1415480321632
235,19,7,N,1,43571733,1415575198632
236,19,8,L,2,43671735,1415670340132
237,19,9,A,0,43771736,1415780707132
238,19,10,N,1,43871738,1415873950332
239,19,11,D,5,43971740,1415984441332
240,20,0,F,11,44071742,1416078813632
241,20,1,H,13,44171745,1416174196832
242,20,2,B,4,44271748,1416268407932
243,20,3,U,15,44371750,1416378284532
244,20,4,R,14,44471751,1416472850632
245,20,5,G,10,44571754,1416567168232
246,20,6,E,12,44671757,1416676903532
247,20,7,N,1,44771758,1416770892932
248,20,8,L,2,44871760,1416880936232
249,20,9,A,0,44971761,1416975156332
250,20,10,N,1,45071764,1417069644532
251,20,11,D,5,45171765,1417179974732
252,21,0,F,11,45271767,1417274454632
253,21,1,H,13,45371768,1417369906332
254,21,2,B,4,45471770,1417480305632
255,21,3,U,15,45571772,1417574763632
256,21,4,R,14,45671774,1417669155432
257,21,5,G,10,45771776,1417780176632
258,21,6,E,12,45871778,1417873088832
259,21,7,N,1,45971779,1417967336732
260,21,8,L,2,46071780,1418076750832
261,21,9,A,0,46171782,1418171737832
262,21,10,N,1,46271784,1418281846032
263,21,11,D,5,46371786,1418392126032
264,22,0,F,11,46471787,1418470870332
265,22,1,H,13,46571789,1418580366732
266,22,2,B,4,46671790,1418674298032
267,22,3,U,15,46771791,1418767622532
268,22,4,R,14,46871793,1418877528732
269,22,5,G,10,46971794,1418972430432
270,22,6,E,12,47071796,1419081666832
271,22,7,N,1,47171797,1419177349232
272,22,8,L,2,47271798,1419271318532
273,22,9,A,0,47371800,1419381046532
274,22,10,N,1,47471801,1419474100232
275,22,11,D,5,47571803,1419584029732
276,23,0,F,11,47671806,1419678266232
277,23,1,H,13,47771807,1419771124132
278,23,2,B,4,47871809,1419880842832
279,23,3,U,15,47971812,1419974046532
280,23,4,R,14,48071813,1420067841032
281,23,5,G,10,48171816,1420177292432
282,23,6,E,12,48271818,1420270713532
283,23,7,N,1,48371820,1420380592232
284,23,8,L,2,48471822,1420476048432
285,23,9,A,0,48571824,1420568842532
286,23,10,N,1,48671826,1420678078832
287,23,11,D,5,48771828,1420787692832
288,24,0,F,11,48871830,1420880982932
289,24,1,H,13,48971830,1420974915432
290,24,2,B,4,49071831,1421068237332
291,24,3,U,15,49171834,1421177731532
292,24,4,R,14,49271836,1421271731132
293,24,5,G,10,49371838,1421364834432
294,24,6,E,12,49471841,1421474907532
295,24,7,N,1,49571843,1421569621632
296,24,8,L,2,49671845,1421679444032
297,24,9,A,0,49771847,1421773580532
298,24,10,N,1,49871847,1421867681432
299,24,11,D,5,49971848,1421978453032
300,25,0,F,11,50071850,1422072752232
301,25,1,H,13,50171852,1422166947832
302,25,2,B,4,50271854,1422277198732
303,25,3,U,15,50371856,1422370286832
304,25,4,R,14,50471857,1422478551032
305,25,5,G,10,50571858,1422572753532
306,25,6,E,12,50671860,1422666938732
307,25,7,N,1,50771863,1422778464832
308,25,8,L,2,50871865,1422873837932
309,25,9,A,0,50971868,1422970261332
310,25,10,N,1,51071869,1423081051632
311,25,11,D,5,51171871,1423191709732
312,26,0,F,11,51271873,1423270892032
313,26,1,H,13,51371875,1423381713232
314,26,2,B,4,51471875,1423477543832
315,26,3,U,15,51571877,1423572641632
316,26,4,R,14,51671879,1423667589932
317,26,5,G,10,51771880,1423779405132
318,26,6,E,12,51871883,1423876161732
319,26,7,N,1,51971885,1423972206532
320,26,8,L,2,52071887,1424067832732
321,26,9,A,0,52171889,1424178465832
322,26,10,N,1,52271892,1424273583532
323,26,11,D,5,52371894,1424385125532
324,27,0,F,11,52471897,1424480379532
325,27,1,H,13,52571899,1424576096032
326,27,2,B,4,52671900,1424672230732
327,27,3,U,15,52771901,1424767973032
328,27,4,R,14,52871902,1424879593832
329,27,5,G,10,52971904,1424975770432
330,27,6,E,12,53071905,1425070985332
331,27,7,N,1,53171907,1425182086732
332,27,8,L,2,53271909,1425278542632
333,27,9,A,0,53371911,1425373686232
334,27,10,N,1,53471914,1425469547032
335,27,11,D,5,53571916,1425579871132
336,28,0,F,11,53671918,1425674518432
337,28,1,H,13,53771920,1425768697832
338,28,2,B,4,53871922,1425880284632
339,28,3,U,15,53971924,1425976588832
340,28,4,R,14,54071927,1426071778532
341,28,5,G,10,54171929,1426182657732
342,28,6,E,12,54271931,1426278046732
343,28,7,N,1,54371933,1426374727432
344,28,8,L,2,54471935,1426469506932
345,28,9,A,0,54571937,1426580897532
346,28,10,N,1,54671938,1426676799432
347,28,11,D,5,54771941,1426788756332
348,29,0,F,11,54871942,1426867999732
349,29,1,H,13,54971944,1426979094932
350,29,2,B,4,55071947,1427075161932
351,29,3,U,15,55171948,1427170386132
352,29,4,R,14,55271949,1427281784932
353,29,5,G,10,55371951,1427376910532
354,29,6,E,12,55471953,1427472584432
355,29,7,N,1,55571954,1427567958532
356,29,8,L,2,55671956,1427679801232
357,29,9,A,0,55771959,1427775523332
358,29,10,N,1,55871962,1427860982532
359,29,11,D,5,55971964,1427963790032
360,30,0,F,11,56071967,1428068306132
361,30,1,H,13,56171968,1428179287632
362,30,2,B,4,56271969,1428274696932
363,30,3,U,15,56371971,1428370658232
364,30,4,R,14,56471974,1428480901032
365,30,5,G,10,56571976,1428575585032
366,30,6,E,12,56671978,1428670243832
367,30,7,N,1,56771979,1428780400532
368,30,8,L,2,56871981,1428875489632
369,30,9,A,0,56971983,1428971433732
370,30,10,N,1,57071984,1429083383632
371,30,11,D,5,57171986,1429194966632
372,31,0,F,11,57271988,1429274287032
373,31,1,H,13,57371990,1429368860732
374,31,2,B,4,57471992,1429479416132
375,31,3,U,15,57571995,1429574266932
376,31,4,R,14,57671997,1429668789832
377,31,5,G,10,57772000,1429780394232
378,31,6,E,12,57872002,1429875872932
379,31,7,N,1,57972004,1429971743332
380,31,8,L,2,58072007,1430066650732
381,31,9,A,0,58172009,1430177790132
382,31,10,N,1,58272010,1430272859132
383,31,11,D,5,58372012,1430382540832
384,32,0,F,11,58472014,1430478538932
385,32,1,H,13,58572016,1430574916132
386,32,2,B,4,58672018,1430669569732
387,32,3,U,15,58772019,1430781084632
388,32,4,R,14,58872021,1430876398532
389,32,5,G,10,58972023,1430971863932
390,32,6,E,12,59072025,1431082474932
391,32,7,N,1,59172027,1431178016932
392,32,8,L,2,59272028,1431273375532
393,32,9,A,0,59372029,1431368915632
394,32,10,N,1,59472031,1431479951132
395,32,11,D,5,59572033,1431591420232
396,33,0,F,11,59672036,1431671046132
397,33,1,H,13,59772039,1431782664532
398,33,2,B,4,59872041,1431878415232
399,33,3,U,15,59972043,1431974521332
400,33,4,R,14,60072044,1432070320632
401,33,5,G,10,60172046,1432181637632
402,33,6,E,12,60272048,1432277223832
403,33,7,N,1,60372051,1432372487632
404,33,8,L,2,60472054,1432467596532
405,33,9,A,0,60572056,1432577858432
406,33,10,N,1,60672056,1432672222732
407,33,11,D,5,60772058,1432782034732
408,34,0,F,11,60872060,1432877128632
409,34,1,H,13,60972062,1432972511932
410,34,2,B,4,61072065,1433068361532
411,34,3,U,15,61172066,1433180069832
412,34,4,R,14,61272067,1433275946032
413,34,5,G,10,61372069,1433369749832
414,34,6,E,12,61472072,1433480140632
415,34,7,N,1,61572074,1433574602132
416,34,8,L,2,61672076,1433669523832
417,34,9,A,0,61772078,1433780308232
418,34,10,N,1,61872079,1433874852332
419,34,11,D,5,61972081,1433985774232
420,35,0,F,11,62072083,1434081238032
421,35,1,H,13,62172085,1434176369332
422,35,2,B,4,62272086,1434271935632
423,35,3,U,15,62372088,1434366971832
424,35,4,R,14,62472090,1434478298332
425,35,5,G,10,62572092,1434573737832
426,35,6,E,12,62672094,1434668909632
427,35,7,N,1,62772097,1434780243232
428,35,8,L,2,62872100,1434877067932
429,35,9,A,0,62972101,1434972500532
430,35,10,N,1,63072102,1435067292832
