seq,cycle,pos,char,gpio,t0_us,host_rx_ns
692,57,8,L,2,89272593,1461278222632
693,57,9,A,0,89372596,1461373222332
694,57,10,N,1,89472598,1461467316532
695,57,11,D,5,89572599,1461577012932
696,58,0,F,11,89672601,1461673317432
697,58,1,H,13,89772603,1461769245532
698,58,2,B,4,89872605,1461880837532
699,58,3,U,15,89972607,1461977139732
700,58,4,R,14,90072610,1462072989032
701,58,5,G,10,90172611,1462168291432
702,58,6,E,12,90272613,1462279683932
703,58,7,N,1,90372614,1462374404432
704,58,8,L,2,90472616,1462468288832
705,58,9,A,0,90572618,1462578484132
706,58,10,N,1,90672618,1462672375832
