seq,cycle,pos,char,t0_us,t0_expected_us,delta_us
0,0,0,F,20071956,20071956,0
1,0,1,H,20171957,20171956,1
2,0,2,B,20271959,20271956,3
3,0,3,U,20371959,20371956,3
4,0,4,R,20471960,20471956,4
5,0,5,G,20571960,20571956,4
6,0,6,E,20671961,20671956,5
7,0,7,N,20771962,20771956,6
8,0,8,L,20871962,20871956,6
9,0,9,A,20971964,20971956,8
10,0,10,N,21071965,21071956,9
11,0,11,D,21171966,21171956,10
12,1,0,F,21272091,21272091,0
13,1,1,H,21372092,21372091,1
14,1,2,B,21472093,21472091,2
15,1,3,U,21572095,21572091,4
16,1,4,R,21672096,21672091,5
17,1,5,G,21772097,21772091,6
18,1,6,E,21872097,21872091,6
19,1,7,N,21972099,21972091,8
20,1,8,L,22072100,22072091,9
21,1,9,A,22172101,22172091,10
22,1,10,N,22272103,22272091,12
23,1,11,D,22372104,22372091,13
24,2,0,F,22472105,22472105,0
25,2,1,H,22572106,22572105,1
26,2,2,B,22672107,22672105,2
27,2,3,U,22772107,22772105,2
28,2,4,R,22872107,22872105,2
29,2,5,G,22972108,22972105,3
30,2,6,E,23072109,23072105,4
31,2,7,N,23172110,23172105,5
32,2,8,L,23272111,23272105,6
33,2,9,A,23372111,23372105,6
34,2,10,N,23472112,23472105,7
35,2,11,D,23572113,23572105,8
36,3,0,F,23672114,23672114,0
37,3,1,H,23772114,23772114,0
38,3,2,B,23872115,23872114,1
39,3,3,U,23972116,23972114,2
40,3,4,R,24072117,24072114,3
41,3,5,G,24172118,24172114,4
42,3,6,E,24272130,24272114,16
43,3,7,N,24372132,24372114,18
44,3,8,L,24472134,24472114,20
45,3,9,A,24572136,24572114,22
46,3,10,N,24672136,24672114,22
47,3,11,D,24772137,24772114,23
48,4,0,F,24872138,24872138,0
49,4,1,H,24972139,24972138,1
50,4,2,B,25072141,25072138,3
51,4,3,U,25172141,25172138,3
52,4,4,R,25272143,25272138,5
53,4,5,G,25372143,25372138,5
54,4,6,E,25472144,25472138,6
55,4,7,N,25572145,25572138,7
56,4,8,L,25672146,25672138,8
57,4,9,A,25772147,25772138,9
58,4,10,N,25872148,25872138,10
59,4,11,D,25972150,25972138,12
60,5,0,F,26072151,26072151,0
61,5,1,H,26172152,26172151,1
62,5,2,B,26272153,26272151,2
63,5,3,U,26372154,26372151,3
64,5,4,R,26472155,26472151,4
65,5,5,G,26572156,26572151,5
66,5,6,E,26672157,26672151,6
67,5,7,N,26772158,26772151,7
68,5,8,L,26872159,26872151,8
69,5,9,A,26972159,26972151,8
70,5,10,N,27072161,27072151,10
71,5,11,D,27172163,27172151,12
72,6,0,F,27272164,27272164,0
73,6,1,H,27372165,27372164,1
74,6,2,B,27472166,27472164,2
75,6,3,U,27572167,27572164,3
76,6,4,R,27672167,27672164,3
77,6,5,G,27772168,27772164,4
78,6,6,E,27872169,27872164,5
79,6,7,N,27972170,27972164,6
80,6,8,L,28072171,28072164,7
81,6,9,A,28172171,28172164,7
82,6,10,N,28272173,28272164,9
83,6,11,D,28372174,28372164,10
84,7,0,F,28472175,28472175,0
85,7,1,H,28572176,28572175,1
86,7,2,B,28672177,28672175,2
87,7,3,U,28772178,28772175,3
88,7,4,R,28872180,28872175,5
89,7,5,G,28972181,28972175,6
90,7,6,E,29072182,29072175,7
91,7,7,N,29172184,29172175,9
92,7,8,L,29272185,29272175,10
93,7,9,A,29372185,29372175,10
94,7,10,N,29472186,29472175,11
95,7,11,D,29572186,29572175,11
96,8,0,F,29672187,29672187,0
97,8,1,H,29772188,29772187,1
98,8,2,B,29872189,29872187,2
99,8,3,U,29972189,29972187,2
100,8,4,R,30072190,30072187,3
101,8,5,G,30172192,30172187,5
102,8,6,E,30272192,30272187,5
103,8,7,N,30372192,30372187,5
104,8,8,L,30472193,30472187,6
105,8,9,A,30572194,30572187,7
106,8,10,N,30672195,30672187,8
107,8,11,D,30772196,30772187,9
108,9,0,F,30872197,30872197,0
109,9,1,H,30972197,30972197,0
110,9,2,B,31072198,31072197,1
111,9,3,U,31172199,31172197,2
112,9,4,R,31272200,31272197,3
